date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-12-02,360,1647,506,53543561,348
2023-12-03,330,1127,453,32120585,311
2023-12-04,220,779,270,23870595,210
2023-12-05,162,753,247,21875895,150
2023-12-06,230,784,307,23526594,216
2023-12-07,189,594,235,18420741,177
2023-12-08,275,1449,413,39780822,264
2023-12-09,348,1606,503,48809338,345
2023-12-10,328,1185,432,33106231,305
2023-12-11,228,591,258,19557261,190
2023-12-12,188,544,233,17358400,158
2023-12-13,188,1064,293,24853900,148
2023-12-14,170,556,224,16121213,146
2023-12-15,241,1411,404,37774826,218
2023-12-16,375,1479,463,48575573,354
2023-12-17,272,922,349,26262471,248
2023-12-18,192,465,201,16320007,163
2023-12-19,108,420,125,13471097,99
2023-12-20,116,487,167,14804130,109
2023-12-21,119,447,160,13347237,116
2023-12-22,196,1047,296,28097800,193
2023-12-23,302,1358,430,39105837,300
2023-12-24,269,779,299,22696895,255
2023-12-25,217,641,260,16057859,196
2023-12-26,272,862,311,22414768,249
2023-12-27,296,1173,371,30067600,277
2023-12-28,277,1395,374,42258010,261
2023-12-29,365,1788,476,53646215,330
2023-12-30,427,1322,463,46664193,390
2023-12-31,523,1557,517,62081966,402
2024-01-01,414,1285,410,46897342,320
2024-01-02,420,1468,488,50405796,372
2024-01-03,404,1243,446,41322674,376
2024-01-04,343,994,347,28787258,300
2024-01-05,285,877,290,23307615,269
2024-01-06,317,965,365,34845576,294
2024-01-07,258,986,275,31878207,244
2024-01-08,61,208,75,6818781,59
2024-01-09,5,14,5,1340900,5
2024-01-10,15,28,5,2402100,11
2024-01-11,14,76,34,2765200,14
2024-01-12,59,621,159,13031653,60
2024-01-13,156,939,231,25692256,151
2024-01-14,118,392,176,11034830,100
2024-01-15,83,334,151,10702768,73
2024-01-16,88,242,92,7715096,69
2024-01-17,43,111,43,3265470,33
2024-01-18,56,268,103,6523255,47
2024-01-19,85,453,156,12150953,80
2024-01-20,200,966,301,29725984,197
2024-01-21,105,416,143,11959610,100
2024-01-22,64,379,139,8974595,52
2024-01-23,55,237,89,5342740,48
2024-01-24,41,448,95,8611410,38
2024-01-25,69,360,136,8055330,58
2024-01-26,109,502,193,13442004,99
2024-01-27,163,676,237,24164662,158
2024-01-28,76,542,180,12724548,75
2024-01-29,36,202,90,4782640,32
2024-01-30,33,177,62,4361780,31
2024-01-31,37,96,50,3769833,34
2024-02-01,27,208,76,5314285,24
2024-02-02,84,404,146,10062117,79
2024-02-03,124,621,187,15932405,122
2024-02-04,51,265,78,6409610,48
2024-02-05,56,367,106,6263270,49
2024-02-06,23,116,16,2893240,17
2024-02-07,18,62,21,1880850,15
2024-02-08,38,177,59,5193450,34
2024-02-09,82,603,218,16555426,78
2024-02-10,231,918,270,28205058,209
2024-02-11,177,521,234,19130325,164
2024-02-12,47,289,101,9842795,43
2024-02-13,21,109,49,2398310,20
2024-02-14,32,96,35,3142920,27
2024-02-15,48,310,122,7278340,39
2024-02-16,62,369,143,8467095,59
2024-02-17,111,564,213,19162065,106
2024-02-18,61,335,114,8999946,58
2024-02-19,34,356,135,7852690,31
2024-02-20,35,270,95,5968700,32
2024-02-21,20,71,23,2244826,18
2024-02-22,85,390,153,11269335,81
2024-02-23,198,662,220,21083742,181
2024-02-24,103,373,127,14161949,96
2024-02-25,57,306,161,6681830,50
2024-02-26,42,296,104,6155580,33
2024-02-27,24,69,39,1961120,18
2024-02-28,11,22,12,871230,10
2024-02-29,14,164,68,3073270,14
