date_visit,n_stay,n_people,n_room,amount_fee,n_reserve
2023-06-03,0,0,0,0,0
2023-06-04,9,30,9,730900,9
2023-06-05,7,20,7,493080,7
2023-06-06,0,0,0,0,0
2023-06-07,0,0,0,0,0
2023-06-08,6,15,6,354760,6
2023-06-09,9,32,10,737220,9
2023-06-10,9,29,10,1079340,8
2023-06-11,12,46,15,1226710,12
2023-06-12,6,17,6,438150,6
2023-06-13,0,0,0,0,0
2023-06-14,0,0,0,0,0
2023-06-15,0,0,0,0,0
2023-06-16,12,27,11,801989,11
2023-06-17,10,39,11,1231700,10
2023-06-18,9,21,9,576390,9
2023-06-19,11,25,12,620850,11
2023-06-20,0,0,0,0,0
2023-06-21,0,0,0,0,0
2023-06-22,8,18,9,478230,8
2023-06-23,12,38,12,1046130,12
2023-06-24,11,39,13,1312200,10
2023-06-25,8,17,7,508550,7
2023-06-26,12,30,14,858100,12
2023-06-27,0,0,0,0,0
2023-06-28,0,0,0,0,0
2023-06-29,13,33,12,975630,12
2023-06-30,10,23,10,642840,10
2023-07-01,8,24,8,791850,8
2023-07-02,10,25,11,725380,10
2023-07-03,14,36,14,917220,14
2023-07-04,0,0,0,0,0
2023-07-05,0,0,0,0,0
2023-07-06,0,0,0,0,0
2023-07-07,20,50,20,1264700,20
2023-07-08,13,37,12,1251030,12
2023-07-09,10,28,10,801140,10
2023-07-10,11,26,12,679300,11
2023-07-11,0,0,0,0,0
2023-07-12,0,0,0,0,0
2023-07-13,0,0,0,0,0
2023-07-14,7,16,6,627910,6
2023-07-15,10,29,9,1422240,9
2023-07-16,10,37,12,1587500,10
2023-07-17,10,31,12,891200,10
2023-07-18,0,0,0,0,0
2023-07-19,0,0,0,0,0
2023-07-20,10,25,9,848080,9
2023-07-21,7,22,7,624340,7
2023-07-22,11,31,11,905600,11
2023-07-23,15,54,17,1543000,13
2023-07-24,8,27,8,664940,8
2023-07-25,0,0,0,0,0
2023-07-26,0,0,0,0,0
2023-07-27,22,72,22,1730700,22
2023-07-28,11,33,12,967800,10
2023-07-29,16,47,16,1462010,16
2023-07-30,16,51,16,1441270,15
2023-07-31,20,74,20,1740440,20
2023-08-01,0,0,0,0,0
2023-08-02,0,0,0,0,0
2023-08-03,197,624,27,11428878,170
2023-08-04,186,675,24,13339345,165
2023-08-05,169,614,29,13974102,159
2023-08-06,161,559,27,12923438,143
2023-08-07,157,550,12,12890797,129
2023-08-08,172,607,22,14099798,144
2023-08-09,182,631,37,15942576,158
2023-08-10,292,1048,137,29276671,263
2023-08-11,195,694,23,21502208,169
2023-08-12,205,712,26,21400270,177
2023-08-13,214,751,38,22340777,183
2023-08-14,217,679,34,21379773,181
2023-08-15,126,394,33,11906662,111
2023-08-16,153,486,15,11363452,135
2023-08-17,193,640,14,13629519,171
2023-08-18,211,649,48,15834201,187
2023-08-19,184,649,20,15139612,168
2023-08-20,186,650,34,12263646,170
2023-08-21,181,770,40,15798454,161
2023-08-22,180,609,20,11726602,165
2023-08-23,157,543,19,9795502,141
2023-08-24,196,653,55,12846292,181
2023-08-25,175,599,48,12841693,162
2023-08-26,198,658,56,18341562,182
2023-08-27,195,588,46,12560523,169
2023-08-28,129,400,29,8039462,114
2023-08-29,101,280,23,5878239,87
2023-08-30,109,256,7,4712843,95
2023-08-31,49,117,9,2645307,43
2023-09-01,124,340,38,7251269,116
2023-09-02,146,496,43,11928327,139
2023-09-03,156,538,51,10529530,151
2023-09-04,51,186,49,5800952,48
2023-09-05,48,103,23,4129050,30
2023-09-06,18,36,12,1464720,15
2023-09-07,208,556,115,13060842,181
2023-09-08,310,856,145,18933925,285
2023-09-09,297,1032,153,28342525,278
2023-09-10,287,821,106,17297346,239
2023-09-11,249,552,104,12412709,184
2023-09-12,182,449,75,10681227,145
2023-09-13,163,683,61,13119507,140
2023-09-14,143,484,83,12174439,132
2023-09-15,239,1952,215,29069600,180
2023-09-16,521,1745,313,43887779,423
2023-09-17,504,1614,275,41133582,438
2023-09-18,283,588,142,11899627,223
2023-09-19,187,460,103,7829344,157
2023-09-20,182,444,110,9307860,156
2023-09-21,166,485,127,10059222,153
2023-09-22,300,838,200,19064586,271
2023-09-23,385,1348,314,34385499,365
2023-09-24,341,852,256,17783663,288
2023-09-25,313,947,282,17779046,251
2023-09-26,198,656,112,11721023,156
2023-09-27,245,545,133,11216859,172
2023-09-28,338,824,215,14893917,242
2023-09-29,466,1060,263,22739111,366
2023-09-30,412,1181,300,28494952,339
2023-10-01,248,765,166,12845322,210
2023-10-02,143,368,96,8383618,111
2023-10-03,170,614,107,12396988,142
2023-10-04,121,464,96,8959803,102
2023-10-05,157,524,118,10943110,120
2023-10-06,306,877,224,19061921,278
2023-10-07,401,1760,325,46362260,364
2023-10-08,415,1484,375,37189605,385
2023-10-09,183,690,182,12882388,157
2023-10-10,160,1018,185,19236812,129
2023-10-11,107,1138,185,21005556,89
2023-10-12,114,777,166,10747130,103
2023-10-13,275,1355,265,25409463,263
2023-10-14,339,1703,312,39765474,327
2023-10-15,311,1154,295,24159096,300
2023-10-16,204,684,167,14915877,183
2023-10-17,155,646,135,12619095,142
2023-10-18,138,886,199,19185488,128
2023-10-19,208,997,348,21102287,198
2023-10-20,358,1349,312,29484502,349
2023-10-21,328,1681,317,43478357,319
2023-10-22,409,1332,359,28549264,387
2023-10-23,213,932,209,19487978,194
2023-10-24,217,579,168,12359454,168
2023-10-25,198,856,274,17022726,191
2023-10-26,233,1056,232,21832470,216
2023-10-27,375,1274,339,28706193,364
2023-10-28,272,1897,284,47279988,262
2023-10-29,400,1486,357,32423507,378
2023-10-30,225,787,206,16662837,206
2023-10-31,155,712,147,13598959,139
2023-11-01,167,609,173,13416440,153
2023-11-02,265,852,249,21224268,253
2023-11-03,436,1612,435,47542225,392
2023-11-04,358,1463,367,39678711,341
2023-11-05,290,1007,296,25732795,256
2023-11-06,181,696,208,17741054,164
2023-11-07,164,585,191,15392204,151
2023-11-08,139,836,177,20806420,128
2023-11-09,170,770,181,21273405,153
2023-11-10,310,1036,313,33560187,305
2023-11-11,218,1431,347,44028888,217
2023-11-12,319,1203,325,36174498,305
2023-11-13,182,839,260,23091380,168
2023-11-14,165,716,201,23719577,152
2023-11-15,203,731,226,23384660,187
2023-11-16,176,942,238,28367064,168
2023-11-17,232,1030,278,29704296,226
2023-11-18,294,1451,347,45460666,287
2023-11-19,223,1071,273,29103055,219
2023-11-20,211,671,218,18805358,179
2023-11-21,195,868,227,24276255,161
2023-11-22,228,835,279,25272802,196
2023-11-23,395,1207,381,37988040,339
2023-11-24,335,1084,312,33496698,298
2023-11-25,280,1583,371,44178711,249
2023-11-26,236,988,256,28533742,217
2023-11-27,139,529,155,13727880,126
2023-11-28,122,530,243,11240694,112
2023-11-29,123,373,114,11015875,107
2023-11-30,92,444,97,11268455,81
2023-12-01,132,1047,245,22614060,121
2023-12-02,254,1395,319,43730154,235
2023-12-03,150,672,199,18558730,141
2023-12-04,76,412,96,8971071,69
2023-12-05,60,448,102,10523970,53
2023-12-06,83,333,125,8842436,77
2023-12-07,57,326,90,5877648,53
2023-12-08,108,931,225,23403663,99
2023-12-09,173,1048,277,29671054,167
2023-12-10,123,565,202,16511380,113
2023-12-11,52,148,71,3789200,41
2023-12-12,45,207,63,4076410,35
2023-12-13,43,783,152,11945463,38
2023-12-14,38,149,43,3938210,38
2023-12-15,79,727,208,16127777,79
2023-12-16,192,767,262,25672462,187
2023-12-17,61,226,74,6277756,54
2023-12-18,36,127,71,3418748,34
2023-12-19,21,170,26,3988530,19
2023-12-20,31,149,52,3683370,29
2023-12-21,18,96,19,1716400,18
2023-12-22,65,532,138,9941230,58
2023-12-23,127,394,162,12771397,123
2023-12-24,92,224,106,6491950,85
2023-12-25,70,186,86,4939640,60
2023-12-26,110,282,99,7677269,94
2023-12-27,95,534,141,11393054,87
2023-12-28,108,825,195,20836180,107
2023-12-29,192,1034,264,30435860,169
2023-12-30,214,597,218,23419665,194
2023-12-31,376,1080,358,42717122,290
2024-01-01,291,849,284,32342227,222
2024-01-02,232,768,242,28001741,204
2024-01-03,190,516,200,16334902,172
2024-01-04,121,303,105,9915809,99
2024-01-05,62,215,68,6211459,59
2024-01-06,128,294,143,9720350,107
2024-01-07,114,466,113,12639637,100
2024-01-08,15,82,31,2136540,15
2024-01-09,0,0,0,0,0
2024-01-10,0,0,0,0,0
2024-01-11,3,12,7,426000,3
2024-01-12,10,68,10,786030,11
2024-01-13,42,367,63,9447030,42
2024-01-14,44,135,39,3707090,28
2024-01-15,27,87,32,2141990,21
2024-01-16,31,56,23,1430220,21
2024-01-17,10,9,5,119850,5
2024-01-18,13,21,9,546190,9
2024-01-19,17,97,22,1891880,16
2024-01-20,48,343,100,9760632,47
2024-01-21,8,82,21,2367390,8
2024-01-22,12,58,26,2874260,10
2024-01-23,4,35,3,602100,4
2024-01-24,1,5,1,95550,1
2024-01-25,3,9,3,318150,3
2024-01-26,1,2,1,231300,1
2024-01-27,8,19,8,1084210,6
2024-01-28,1,2,1,72900,1
